Source:,bs4_data_python,,,,,,,,,,,,Legend:,< Min Count
Weighted By:,LENGTH,,,,,,,,,,,,,< Min Value
Condition:,$v > 0,,,,,,,,,,,,,Marginal
,,,,,,,,,,,,,,Out Of Range
,,,,,,,,,,,,,,High Values
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
ws (325),Number Of Samples,4190,4174,4174,4174,4174,4174,4174,4130,4174,4174,4174,4174,2268
ws (325),Minimum,0.10,14.22,0.81,0.38,0.017,0.01,1.48,0.001,0.01,0.01,0.01,97.10,0.160
ws (325),Maximum,2.00,67.57,37.63,27.85,0.890,14.15,16.95,4.510,3.90,2.35,7.11,103.47,8.240
ws (325),Range,1.90,53.35,36.82,27.47,0.873,14.15,15.47,4.509,3.90,2.35,7.11,6.37,8.080
ws (325),Mean,1.99,55.61,6.99,4.09,0.136,0.22,8.17,0.048,0.16,0.11,0.11,100.00,1.037
ws (325),Standard Deviation,0.11,4.50,3.81,2.17,0.053,0.74,2.05,0.098,0.19,0.12,0.31,0.36,0.574
ws (325),Variance,0.01,20.22,14.50,4.72,0.003,0.55,4.22,0.010,0.03,0.01,0.09,0.13,0.330
ws (325),Coef. Of Variance,0.06,0.08,0.54,0.53,0.389,3.30,0.25,2.023,1.17,1.08,2.75,0.00,0.554
ws (325),Skewness,-8.63,-1.00,1.60,1.95,1.997,10.40,-0.16,26.668,6.66,5.42,11.33,0.52,3.238
ws (325),Median,2.00,55.78,6.32,3.72,0.132,0.05,8.26,0.030,0.11,0.08,0.05,100.00,0.890
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
dg3 (402),Number Of Samples,12986,12960,12960,12960,12960,12960,12960,12932,12959,12960,12960,12960,5744
dg3 (402),Minimum,1.00,23.61,0.59,0.14,0.030,0.01,1.07,0.001,0.01,0.01,0.01,94.02,0.010
dg3 (402),Maximum,2.00,68.17,39.55,23.29,0.604,16.30,12.96,0.418,1.46,1.70,6.88,102.31,4.980
dg3 (402),Range,1.00,44.56,38.96,23.15,0.574,16.30,11.89,0.417,1.46,1.70,6.88,8.29,4.970
dg3 (402),Mean,1.99,62.35,3.19,1.79,0.138,0.10,5.28,0.014,0.04,0.07,0.04,100.11,0.527
dg3 (402),Standard Deviation,0.12,4.10,3.16,1.75,0.054,0.45,1.90,0.024,0.06,0.05,0.10,0.39,0.436
dg3 (402),Variance,0.01,16.83,10.00,3.06,0.003,0.20,3.61,0.001,0.00,0.00,0.01,0.15,0.190
dg3 (402),Coef. Of Variance,0.06,0.07,0.99,0.98,0.390,4.70,0.36,1.675,1.48,0.76,2.36,0.00,0.827
dg3 (402),Skewness,-8.32,-1.85,3.49,2.85,1.306,20.86,0.85,5.631,6.49,8.15,36.23,-0.05,3.035
dg3 (402),Median,2.00,63.64,2.08,1.15,0.127,0.04,4.89,0.007,0.02,0.06,0.03,100.04,0.370
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
dg2 (412),Number Of Samples,7430,7413,7413,7413,7413,7413,7413,7397,7413,7413,7413,7413,3187
dg2 (412),Minimum,1.00,7.19,0.52,0.23,0.035,0.01,1.79,0.001,0.01,0.01,0.01,96.90,0.100
dg2 (412),Maximum,2.00,67.32,55.56,31.65,0.555,8.17,14.26,0.741,4.23,1.92,2.64,102.25,9.870
dg2 (412),Range,1.00,60.13,55.04,31.42,0.520,8.17,12.47,0.740,4.23,1.92,2.64,5.35,9.770
dg2 (412),Mean,1.98,58.63,5.01,3.65,0.179,0.09,6.69,0.020,0.10,0.08,0.05,100.06,1.020
dg2 (412),Standard Deviation,0.13,5.99,4.10,3.06,0.056,0.27,2.07,0.034,0.11,0.06,0.07,0.40,0.892
dg2 (412),Variance,0.02,35.88,16.80,9.34,0.003,0.07,4.29,0.001,0.01,0.00,0.00,0.16,0.796
dg2 (412),Coef. Of Variance,0.06,0.10,0.82,0.84,0.315,3.09,0.31,1.736,1.14,0.79,1.43,0.00,0.875
dg2 (412),Skewness,-7.59,-1.94,2.90,2.50,0.909,13.38,0.38,5.826,9.64,9.61,17.75,-0.05,3.083
dg2 (412),Median,2.00,59.87,3.94,2.88,0.171,0.04,6.39,0.007,0.07,0.06,0.03,100.01,0.760
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
dg1 (422),Number Of Samples,8759,8729,8729,8729,8729,8729,8729,8697,8729,8729,8728,8729,4254
dg1 (422),Minimum,0.30,29.58,0.66,0.05,0.019,0.01,1.18,0.001,0.01,0.01,0.01,98.12,0.110
dg1 (422),Maximum,4.00,68.68,52.24,19.85,0.528,8.46,13.94,0.575,0.91,0.90,1.70,101.81,6.170
dg1 (422),Range,3.70,39.10,51.58,19.80,0.509,8.46,12.76,0.574,0.91,0.90,1.70,3.69,6.060
dg1 (422),Mean,1.98,62.98,2.96,1.78,0.150,0.06,4.66,0.011,0.05,0.08,0.04,100.12,0.501
dg1 (422),Standard Deviation,0.14,3.30,2.59,1.39,0.050,0.22,1.60,0.019,0.05,0.05,0.06,0.38,0.354
dg1 (422),Variance,0.02,10.90,6.69,1.94,0.002,0.05,2.56,0.000,0.00,0.00,0.00,0.14,0.125
dg1 (422),Coef. Of Variance,0.07,0.05,0.87,0.78,0.332,3.83,0.34,1.789,1.00,0.60,1.40,0.00,0.706
dg1 (422),Skewness,-5.78,-2.22,3.98,3.29,1.161,20.77,1.19,9.364,4.28,3.44,10.97,0.47,3.915
dg1 (422),Median,2.00,63.82,2.17,1.40,0.143,0.03,4.41,0.005,0.04,0.06,0.03,100.02,0.400
,,,,,,,,,,,,,,
DOMAIN,FUNCTIONS,Length (m),Fe (%),SiO? (%),Al?O? (%),P (%),Mn (%),LOI (%),S (%),TiO? (%),MgO (%),CaO (%),Total Assay (%),Loi650
dg (435),Number Of Samples,13227,13131,13131,13131,13131,13131,13131,13039,13131,13131,13129,13131,6533
dg (435),Minimum,0.10,10.91,0.68,0.21,0.020,0.01,1.43,0.001,0.01,0.01,0.01,95.01,0.060
dg (435),Maximum,12.50,67.12,58.75,48.42,0.947,19.03,27.66,0.824,4.35,2.94,5.56,102.19,8.420
dg (435),Range,12.40,56.21,58.07,48.21,0.927,19.03,26.23,0.823,4.35,2.94,5.56,7.18,8.360
dg (435),Mean,1.98,57.37,6.37,3.34,0.111,0.06,7.37,0.031,0.17,0.11,0.09,100.01,0.855
dg (435),Standard Deviation,0.27,4.97,3.94,2.35,0.049,0.39,2.50,0.030,0.20,0.11,0.23,0.37,0.598
dg (435),Variance,0.07,24.73,15.56,5.50,0.002,0.15,6.26,0.001,0.04,0.01,0.05,0.14,0.357
dg (435),Coef. Of Variance,0.14,0.09,0.62,0.70,0.440,6.11,0.34,0.964,1.13,1.07,2.47,0.00,0.699
dg (435),Skewness,26.72,-1.23,2.29,2.58,2.411,28.01,0.14,6.714,3.86,5.53,10.35,-0.33,3.679
dg (435),Median,2.00,57.90,5.55,2.86,0.101,0.03,7.23,0.025,0.11,0.08,0.04,100.00,0.720
